Production Companies,Film Title,Filming Location,Stars,Director,Genres,URL,Release Date
Columbia British Productions,Dagger in the Heart,United Kingdom,Valentin Bischoffshausen;Edmund Blenerhayset;Slava Dmitrieva,Sevigne Gamache,Comedy;Drama,https://www.imdb.com/title/tt17038458/?ref_=adv_li_tt,"August 27, 1952"
British National Films,Debt of Honour,United Kingdom,Leslie Banks;Will Fyffe;Geraldine Fitzgerald,Norman Walker,Drama,https://www.imdb.com/title/tt0027507/?ref_=adv_li_tt,"March 27, 1936"
Fox Film Company,Blue Smoke,United Kingdom,Tamara Desni;Ralph Ince;Bruce Seton,Ralph Ince,Drama;Sport,https://www.imdb.com/title/tt0135809/?ref_=adv_li_tt,December 1935
Welwyn Studios,Almost a Honeymoon,United Kingdom,Tommy Trinder;Linden Travers;Edmund Breon,Norman Lee,Comedy,https://www.imdb.com/title/tt0029858/?ref_=adv_li_tt,"April 21, 1938"
Sound City,Designing Women,United Kingdom,Stewart Rome;Valerie Taylor;Tyrell Davis,Ivar Campbell,Drama,https://www.imdb.com/title/tt0155660/?ref_=adv_li_tt,March 1934
,Unsterblicher Valentin,Germany;Canada;United Kingdom;Switzerland,Erich Engels;Karel Lamac;Joe Stöckel,Erich Engels;Karel Lamac;Joe Stöckel,,https://www.imdb.com/title/tt0142950/?ref_=adv_li_tt,1958
British & Dominions Film Corporation,Murder by Rope,United Kingdom,D.A. Clarke-Smith;Sunday Wilshin;Wilfrid Hyde-White,George Pearson,Drama;Mystery,https://www.imdb.com/title/tt0165391/?ref_=adv_li_tt,"August 25, 1936"
British Instructional Films (BIF),Josser Joins the Navy,United Kingdom,Ernie Lotinga;Cyril McLaglen;Jack Hobbs,Norman Lee,Comedy,https://www.imdb.com/title/tt0166668/?ref_=adv_li_tt,"March 18, 1932"
George Smith Productions,Father Steps Out,United Kingdom,George Carney;Dinah Sheridan;Bruce Seton,Maclean Rogers,Comedy,https://www.imdb.com/title/tt0028855/?ref_=adv_li_tt,"June 10, 1937"
Gaumont-British Instructional,The Mysterious Poacher,United Kingdom,Herbert Leidinger;Herbert Navratil;Vera Kulicek,Don Chaffey,Drama;Family,https://www.imdb.com/title/tt10400612/?ref_=adv_li_tt,1950
Lupino Lane Productions,Never Trouble Trouble,United Kingdom,Lupino Lane;Renee Clama;Jack Hobbs,Lupino Lane,Comedy;Romance,https://www.imdb.com/title/tt0022196/?ref_=adv_li_tt,"March 16, 1931"
Elinor Glyn Productions,The Price of Things,United Kingdom,Elissa Landi;Stewart Rome;Walter Tennyson,Elinor Glyn,Drama;Crime,https://www.imdb.com/title/tt0021269/?ref_=adv_li_tt,"July 2, 1930"
George Smith Productions,Paid in Error,United Kingdom,George Carney;Lillian Christine;Tom Helmore,Maclean Rogers,Comedy,https://www.imdb.com/title/tt0170349/?ref_=adv_li_tt,February 1938
Thomas Charles Arnold Productions,Here's George,United Kingdom;United States,George Clarke;Pat Paterson;Ruth Taylor,Marriott Edgar,Comedy,https://www.imdb.com/title/tt0022998/?ref_=adv_li_tt,"September 16, 1932"
George Smith Productions,Pearls Bring Tears,United Kingdom,John Stuart;Dorothy Boyd;Eve Gray,H. Manning Haynes,Drama;Comedy,https://www.imdb.com/title/tt0029383/?ref_=adv_li_tt,March 1937
Anglo-Scottish Pictures Ltd.,The Adventures of Rex,United Kingdom,John Pike;Shirley Joy,Leonard Reeve,Adventure;Drama;Family,https://www.imdb.com/title/tt1675888/?ref_=adv_li_tt,1959
The Rank Organisation,The Royal Ballet,United Kingdom,Margot Fonteyn;Michael Somes;Brian Ashbridge,Paul Czinner,Music,https://www.imdb.com/title/tt0134066/?ref_=adv_li_tt,"January 7, 1960"
British International Pictures (BIP),Uneasy Virtue,United Kingdom,Fay Compton;Edmund Breon;Francis Lister,Norman Walker,Comedy,https://www.imdb.com/title/tt0022519/?ref_=adv_li_tt,"February 5, 1931"
Alexander Films,Television Talent,United Kingdom,Richard Goolden;Gene Sheldon;Hal Walters,Robert Edmunds,Comedy,https://www.imdb.com/title/tt0169296/?ref_=adv_li_tt,1937
George Smith Productions,If I Were Boss,United Kingdom,Bruce Seton;Googie Withers;Ian Fleming,Maclean Rogers,Drama,https://www.imdb.com/title/tt0160396/?ref_=adv_li_tt,March 1938
British & Dominions Film Corporation,Expert's Opinion,United Kingdom,Lucille Lisle;Leslie Perrins;Molly Fisher,Ivar Campbell,Thriller,https://www.imdb.com/title/tt0026327/?ref_=adv_li_tt,November 1935
British International Pictures (BIP),Master and Man,United Kingdom,Wallace Lupino;Barry Lupino;Gus McNaughton,John Harlow,Comedy,https://www.imdb.com/title/tt0167277/?ref_=adv_li_tt,"March 23, 1934"
Herbert Wilcox Productions,Blondes for Danger,United Kingdom,Gordon Harker;Enid Stamp-Taylor;Janet Johnson,Jack Raymond,Thriller,https://www.imdb.com/title/tt0134321/?ref_=adv_li_tt,1938
John Argyle Productions,Love's Old Sweet Song,United Kingdom,John Stuart;Joan Wyndham;William Freshman,H. Manning Haynes,Drama;Romance,https://www.imdb.com/title/tt0024341/?ref_=adv_li_tt,1933
Twentieth Century-Fox Productions,Highland Fling,United Kingdom,Charlie Naughton;Jimmy Gold;Evelyn Foster,H. Manning Haynes,,https://www.imdb.com/title/tt0167985/?ref_=adv_li_tt,"June 17, 1936"
Incorporated Talking Films,Music and Millions,United Kingdom,Gene Gerrard;Claude Dampier;Jean Colin,Randall Faye,Comedy,https://www.imdb.com/title/tt0168195/?ref_=adv_li_tt,1936
Sidney Morgan Productions,Almost a Gentleman,United Kingdom,Billy Bennett;Kathleen Harrison;Gibb McLaughlin,Oswald Mitchell,Comedy,https://www.imdb.com/title/tt0165619/?ref_=adv_li_tt,June 1938
Julius Hagen Productions,Frail Women,United Kingdom,Margaret Vines;Frederick Peisley;Jane Welsh,Maurice Elvey,Drama,https://www.imdb.com/title/tt0022910/?ref_=adv_li_tt,"January 15, 1932"
Clowes & Stock,Grand Prix,United Kingdom,John Stuart;Jillian Sand;Milton Rosmer,St. John Legh Clowes,Drama;Sport,https://www.imdb.com/title/tt0025197/?ref_=adv_li_tt,March 1934
Harry Rowson Productions,The Officers' Mess,United Kingdom,Richard Cooper;Harold French;Elsa Lanchester,H. Manning Haynes,Comedy,https://www.imdb.com/title/tt0166292/?ref_=adv_li_tt,"May 8, 1931"
George King Productions,The Elder Brother,United Kingdom,John Stuart;Marjorie Taylor;Basil Langton,Frederick Hayward,Drama,https://www.imdb.com/title/tt0028826/?ref_=adv_li_tt,"February 12, 1937"
Warner Brothers-First National Productions,Hyde Park,United Kingdom,George Carney;Eve Lister;Barry Clifton,Randall Faye,Comedy,https://www.imdb.com/title/tt0025278/?ref_=adv_li_tt,"November 1, 1934"
Julius Hagen Productions,Tangled Evidence,United Kingdom,Sam Livesey;Michael Hogan;Michael Shepley,George A. Cooper,Crime;Drama,https://www.imdb.com/title/tt0025860/?ref_=adv_li_tt,"March 27, 1934"
British International Pictures (BIP),The Shadow Between,United Kingdom,Godfrey Tearle;Kathleen O'Regan;Olga Lindo,Norman Walker,Drama,https://www.imdb.com/title/tt0022366/?ref_=adv_li_tt,"September 8, 1931"
British International Pictures (BIP),Timbuctoo,United Kingdom,Henry Kendall;Margot Grahame;Victor Stanley,Walter Summers,Comedy,https://www.imdb.com/title/tt0021477/?ref_=adv_li_tt,April 1933
Twentieth Century-Fox Productions,There Was a Young Man,United Kingdom,Oliver Wakefield;Nancy O'Neil;Clifford Heatherley,Albert Parker,Comedy,https://www.imdb.com/title/tt0169315/?ref_=adv_li_tt,"September 28, 1937"
Danziger Productions Ltd.,Web of Suspicion,United Kingdom,Philip Friend;Susan Beaumont;John Martin,Max Varnel,Crime;Drama,https://www.imdb.com/title/tt0053438/?ref_=adv_li_tt,May 1959
FitzPatrick Pictures,The Captain's Table,United Kingdom,Louis Goodrich;Mark Daly;Philip Brandon,Percy Marmont,Crime;Drama,https://www.imdb.com/title/tt0028690/?ref_=adv_li_tt,November 1936
Fox Film Company;George Smith Productions,Virginia's Husband,United Kingdom,Dorothy Boyd;Reginald Gardiner;Enid Stamp-Taylor,Maclean Rogers,Comedy,https://www.imdb.com/title/tt0167480/?ref_=adv_li_tt,"September 6, 1934"
Welwyn Studios,The Gables Mystery,United Kingdom,Francis L. Sullivan;Antoinette Cellier;Leslie Perrins,Harry Hughes,,https://www.imdb.com/title/tt0144212/?ref_=adv_li_tt,1938
Warner Brothers-First National Productions,Patricia Gets Her Man,United Kingdom,Hans Söhnker;Lesley Brook;Edwin Styles,Reginald Purdell,Comedy;Romance,https://www.imdb.com/title/tt0029382/?ref_=adv_li_tt,"March 9, 1937"
Fox Film Company,His Majesty and Co,United Kingdom,John Garrick;Barbara Waring;Morton Selten,Anthony Kimmins,Musical,https://www.imdb.com/title/tt0145822/?ref_=adv_li_tt,1935
Warner Brothers-First National Productions,The Silver Spoon,United Kingdom,Ian Hunter;Garry Marsh;Binnie Barnes,George King,Comedy;Crime,https://www.imdb.com/title/tt0025794/?ref_=adv_li_tt,"December 20, 1933"
Julius Hagen Productions,Say It with Flowers,United Kingdom,Mary Clare;Ben Field;George Carney,John Baxter,Musical,https://www.imdb.com/title/tt0025745/?ref_=adv_li_tt,"January 8, 1934"
Franco London Films,Guilty Melody,United Kingdom,Nils Asther;Gitta Alpar;John Loder,Richard Pottier,Drama,https://www.imdb.com/title/tt0027705/?ref_=adv_li_tt,"July 22, 1936"
"Weiner, MacKane & Rogers",Swinging the Lead,United Kingdom,William Hartnell;Moira Lynd;Gibb McLaughlin,David MacKane,Comedy,https://www.imdb.com/title/tt0165505/?ref_=adv_li_tt,1934
G.B. Samuelson Productions,Threads,United Kingdom,Lawrence Anderson;Dorothy Fane;Gerald Rawlinson,G.B. Samuelson,Drama,https://www.imdb.com/title/tt0023588/?ref_=adv_li_tt,"March 14, 1932"
British Instructional Films (BIF),The Crucifix,United Kingdom,Nancy Price;Sydney Fairbrother;Farren Soutar,G.B. Samuelson,Drama,https://www.imdb.com/title/tt0155643/?ref_=adv_li_tt,March 1934
Victory Films,Chinatown Nights,United Kingdom,H. Agar Lyons;Anne Grey;Robert Hobbs,Toni Frenguelli,Crime;Drama,https://www.imdb.com/title/tt0029990/?ref_=adv_li_tt,September 1937
British Lion Film Corporation;Gainsborough Pictures,King of the Ritz,United Kingdom,Stanley Lupino;Betty Stockfeld;Hugh Wakefield,Carmine Gallone;Herbert Smith,Musical,https://www.imdb.com/title/tt0024220/?ref_=adv_li_tt,March 1933
Twentieth Century Fox,Song of the Road,United Kingdom,Harry Lauder;Ruth Haven;Ethel Glendinning,Alex Bryce,Comedy;Musical,https://www.imdb.com/title/tt0027572/?ref_=adv_li_tt,October 1936
J.H. Martin Cross,When Scouting Won,United Kingdom,Cyril Chant;Frankie Purnell,J.H. Martin Cross,Adventure;Family,https://www.imdb.com/title/tt0348384/?ref_=adv_li_tt,1930
Warner Brothers-First National Productions,Simply Terrific,United Kingdom,Claude Hulbert;Reginald Purdell;Zoe Wynn,Roy William Neill,Comedy,https://www.imdb.com/title/tt0030751/?ref_=adv_li_tt,March 1938
GPO (General Post Office) Film Unit,Liner Cruising South,United Kingdom,Basil Wright,Basil Wright,,https://www.imdb.com/title/tt0024259/?ref_=adv_li_tt,1933
Premier Sound Films,Twin Faces,United Kingdom,Anthony Ireland;Francesca Bahrle;Frank Birch,Lawrence Huntington,Crime,https://www.imdb.com/title/tt0166000/?ref_=adv_li_tt,August 1937
Famous Players Guild,77 Park Lane,United Kingdom,Dennis Neilson-Terry;Betty Stockfeld;Malcolm Keen,Albert de Courville,Crime;Drama;Thriller,https://www.imdb.com/title/tt0021582/?ref_=adv_li_tt,"July 2, 1931"
Sound City,Song of the Plough,United Kingdom,Stewart Rome;Rosalinde Fuller;Allan Jeayes,John Baxter,Drama;Animation,https://www.imdb.com/title/tt0126669/?ref_=adv_li_tt,"December 1, 1933"
City Film Corporation,You Must Get Married,United Kingdom,Frances Day;Neil Hamilton;Robertson Hare,Leslie Pearce,Comedy;Romance,https://www.imdb.com/title/tt0140704/?ref_=adv_li_tt,December 1936
British International Pictures (BIP),Kiss Me Sergeant,United Kingdom,Leslie Fuller;Gladys Cruickshank;Gladys Frazin,Monty Banks,Comedy,https://www.imdb.com/title/tt0023094/?ref_=adv_li_tt,"August 7, 1930"
British & Dominions Film Corporation,Show Flat,United Kingdom,Eileen Munro;Anthony Hankey;Clifford Heatherley,Bernard Mainwaring,Comedy,https://www.imdb.com/title/tt0168168/?ref_=adv_li_tt,"October 9, 1936"
Sound City,White Ensign,United Kingdom,Anthony Kimmins;Molly Lamont;Kenneth Villiers,John Hunt,Adventure;Drama,https://www.imdb.com/title/tt0158361/?ref_=adv_li_tt,March 1934
Warner Brothers-First National Productions,Get Off My Foot,United Kingdom,Max Miller;Jane Carr;Chili Bouchier,William Beaudine,Comedy,https://www.imdb.com/title/tt0026404/?ref_=adv_li_tt,"October 28, 1935"
Butcher's Film Service,Music Hall Parade,United Kingdom,Richard Norris;Charles Sewell;Frank E. Franks,Oswald Mitchell,Musical,https://www.imdb.com/title/tt0031688/?ref_=adv_li_tt,1939
British Lion Film Corporation,Passing Shadows,United Kingdom,Edmund Gwenn;Barry MacKay;Aileen Marson,Leslie S. Hiscott,Mystery,https://www.imdb.com/title/tt0025631/?ref_=adv_li_tt,"May 2, 1934"
Gibraltar Films Ltd.,The Surgeon's Knife,United Kingdom,Donald Houston;Adrienne Corri;Lyndon Brook,Gordon Parry,Crime;Drama,https://www.imdb.com/title/tt0051031/?ref_=adv_li_tt,October 1957
Gaumont British Picture Corporation,Bed and Breakfast,United Kingdom,Jane Baxter;Richard Cooper;Sari Maritza,Walter Forde,Comedy,https://www.imdb.com/title/tt0020676/?ref_=adv_li_tt,"December 17, 1930"
Gainsborough Pictures,For Freedom,United Kingdom,Will Fyffe;Anthony Hulme;E.V.H. Emmett,Maurice Elvey;Castleton Knight,Drama;War,https://www.imdb.com/title/tt0032483/?ref_=adv_li_tt,"May 4, 1940"
London Film Productions,La dame de chez Maxim's,United Kingdom;France,Florelle;Esther Kiss;Ady Cresso,Alexander Korda,Comedy,https://www.imdb.com/title/tt0204239/?ref_=adv_li_tt,"April 1, 1933"
George Smith Productions;Savoy Productions,Shadowed Eyes,United Kingdom,Basil Sydney;Patricia Hilliard;Stewart Rome,Maclean Rogers,Crime;Drama,https://www.imdb.com/title/tt0031918/?ref_=adv_li_tt,"March 2, 1940"
British & Dominions Film Corporation,Cross Currents,United Kingdom,Ian Colin;Marjorie Hume;Evelyn Foster,Adrian Brunel,Comedy,https://www.imdb.com/title/tt0129016/?ref_=adv_li_tt,July 1935
Julius Hagen Productions,"Home, Sweet Home",United Kingdom,John Stuart;Marie Ney;Richard Cooper,George A. Cooper,Drama,https://www.imdb.com/title/tt0024135/?ref_=adv_li_tt,1933
Alleanza Cinematografica Italiana (A.C.I.),The Divine Spark,Italy;United Kingdom,Mártha Eggerth;Phillips Holmes;Benita Hume,Carmine Gallone,Musical;Romance,https://www.imdb.com/title/tt0171157/?ref_=adv_li_tt,"May 10, 1935"
British International Pictures (BIP),Old Spanish Customers,United Kingdom,Leslie Fuller;Binnie Barnes;Drusilla Wills,Lupino Lane,Comedy,https://www.imdb.com/title/tt0023297/?ref_=adv_li_tt,"September 15, 1932"
British International Pictures (BIP),Loose Ends,United Kingdom,Edna Best;Owen Nares;Miles Mander,Norman Walker,Crime;Drama,https://www.imdb.com/title/tt0021088/?ref_=adv_li_tt,"May 22, 1930"
Mancunian Film,Calling All Crooks,United Kingdom,Douglas Wakefield;Billy Nelson;Leslie Perrins,George Black,,https://www.imdb.com/title/tt0169659/?ref_=adv_li_tt,October 1938
Julius Hagen Productions,Once Bitten,United Kingdom,Ursula Jeans;Richard Cooper;Frank Pettingell,Leslie S. Hiscott,Comedy,https://www.imdb.com/title/tt0023301/?ref_=adv_li_tt,"March 16, 1932"
Frank Chisnell Productions,Rover and Me,United Kingdom,Janet Barrow;Ninian Brodie;Judy Edwards,Frank Chisnell,Drama,https://www.imdb.com/title/tt2195098/?ref_=adv_li_tt,1949
Sidney Morgan Productions,The Melody Maker,United Kingdom,Fred Conyngham;Chili Bouchier;Lucille Lisle,Sidney Morgan,Musical,https://www.imdb.com/title/tt0147049/?ref_=adv_li_tt,September 1937
,Radio Parade of 1937,United Kingdom,Claud Allister,Claud Allister,,https://www.imdb.com/title/tt0029460/?ref_=adv_li_tt,1937
Incorporated Talking Films,Mr. Stringfellow Says No,United Kingdom,Neil Hamilton;Claude Dampier;Muriel Aked,Randall Faye,,https://www.imdb.com/title/tt0029269/?ref_=adv_li_tt,April 1934
Harry Cohen Productions;George Smith Productions,I'm an Explosive,United Kingdom,William Hartnell;Gladys Jennings;Eliot Makeham,Adrian Brunel,Comedy,https://www.imdb.com/title/tt0137011/?ref_=adv_li_tt,1933
Kinocrat Films,Z Is for Zebra,United Kingdom,Carol Done,Gerald Cockson,Drama,https://www.imdb.com/title/tt2149644/?ref_=adv_li_tt,1952
British International Pictures (BIP),The Perfect Lady,United Kingdom,Moira Lynd;Henry Wilcoxon;Reginald Gardiner,Frederick J. Jackson;Milton Rosmer,Comedy,https://www.imdb.com/title/tt0127101/?ref_=adv_li_tt,"November 12, 1931"
Warner Brothers-First National Productions,Help Yourself,United Kingdom,Benita Hume;Martin Walker;D.A. Clarke-Smith,John Daumery,Comedy,https://www.imdb.com/title/tt0022993/?ref_=adv_li_tt,"March 21, 1932"
British Lion Film Corporation,All at Sea,United Kingdom,Sandy Powell;Kay Walsh;John Warwick,Herbert Smith,Comedy,https://www.imdb.com/title/tt0031032/?ref_=adv_li_tt,"February 5, 1940"
British & Dominions Film Corporation,Key to Harmony,United Kingdom,Belle Chrystall;Fred Conyngham;Reginald Purdell,Norman Walker,Drama,https://www.imdb.com/title/tt0157890/?ref_=adv_li_tt,March 1935
Welwyn Studios,French Leave,United Kingdom,Betty Lynne;Edmund Breon;John Longden,Norman Lee,Comedy;War,https://www.imdb.com/title/tt0030157/?ref_=adv_li_tt,"June 17, 1937"
Biographic Cartoon Films,The Big Parade,United Kingdom,Bob Godfrey;Keith Learner,Bob Godfrey;Keith Learner,Animation,https://www.imdb.com/title/tt0145676/?ref_=adv_li_tt,1952
Berkeley Films;Berkeley,Rainbow Round the Corner,United Kingdom,The Boswell Twins;Vera Bradley;Chappie d'Amato,Victor M. Gover,Music,https://www.imdb.com/title/tt0459521/?ref_=adv_li_tt,"April 3, 1944"
British International Pictures (BIP),Love Lies,United Kingdom,Stanley Lupino;Dorothy Boyd;Jack Hobbs,Lupino Lane,Comedy,https://www.imdb.com/title/tt0022091/?ref_=adv_li_tt,"August 11, 1931"
Religious Films,Barabbas,United Kingdom,Gabrielle Casartelli;Frank Forbes-Robertson;Frank Moore,James B. Sloan,Drama,https://www.imdb.com/title/tt1634327/?ref_=adv_li_tt,1935
English Films,The Television Follies,United Kingdom,George Carney;Leslie Day;Wynne Gibson,Geoffrey Benstead,,https://www.imdb.com/title/tt0465086/?ref_=adv_li_tt,1933
Warner Brothers-First National Productions,Little Miss Nobody,United Kingdom,Winna Winifried;Sebastian Shaw;Betty Huntley-Wright,John Daumery,Comedy,https://www.imdb.com/title/tt0024263/?ref_=adv_li_tt,1933
George Smith Productions;Bow Bell,Not So Dusty,United Kingdom,Wally Patch;Gus McNaughton;Muriel George,Maclean Rogers,Crime;Comedy,https://www.imdb.com/title/tt0028043/?ref_=adv_li_tt,"May 20, 1936"
Roger Proudlock Productions,Not a Hope in Hell,United Kingdom,Richard Murdoch;Sandra Dorne;Jon Pertwee,Maclean Rogers,Comedy,https://www.imdb.com/title/tt0199874/?ref_=adv_li_tt,October 1960
Anvil Films,Rockets in the Dunes,United Kingdom,Christopher Witty;Gena Yates;Heather Lyons,William C. Hammond,Family,https://www.imdb.com/title/tt0169187/?ref_=adv_li_tt,1960
Patrick K. Heale Productions,The Flaw,United Kingdom,Henry Kendall;Eric Maturin;Phyllis Clare,Norman Walker,Thriller,https://www.imdb.com/title/tt0134654/?ref_=adv_li_tt,October 1933
Fox Film Company,Josser on the Farm,United Kingdom,Ernie Lotinga;Betty Astell;Garry Marsh,T. Hayes Hunter,Comedy,https://www.imdb.com/title/tt0026550/?ref_=adv_li_tt,"November 6, 1934"
Warner Brothers-First National Productions,Full Circle,United Kingdom,Rene Ray;Garry Marsh;Graham Pockett,George King,Crime;Drama,https://www.imdb.com/title/tt0026391/?ref_=adv_li_tt,"April 12, 1935"
Warner Brothers-First National Productions,The Melody-Maker,United Kingdom,Lester Matthews;Joan Marion;Evelyn Roberts,Leslie S. Hiscott,Comedy;Musical,https://www.imdb.com/title/tt0024324/?ref_=adv_li_tt,March 1933
Columbia British Productions,The Copper Jury,United Kingdom,,,Crime;Thriller,https://www.imdb.com/title/tt17039364/?ref_=adv_li_tt,"February 13, 1950"
Fanfare;London Screenplays,Olympic Honeymoon,United Kingdom,Claude Hulbert;Monty Banks;Princess Pearl,Alfred J. Goulding,Comedy,https://www.imdb.com/title/tt0028058/?ref_=adv_li_tt,"June 22, 1940"
Sokal-Film GmbH,Love on Skis,United Kingdom,Joan Austin;Ralph Rogan;Jack Lester,Ladislao Vajda,Comedy;Romance;Sport,https://www.imdb.com/title/tt0136377/?ref_=adv_li_tt,1933
London Screenplays,Her Reputation,United Kingdom,Iris Hoey;Frank Cellier;Malcolm Tearle,Sidney Morgan,,https://www.imdb.com/title/tt0021953/?ref_=adv_li_tt,"July 21, 1931"
Butcher's Film Service,King of Hearts,United Kingdom,Will Fyffe;Gwenllian Gill;Richard Dolman,Oswald Mitchell;Walter Tennyson,,https://www.imdb.com/title/tt0146963/?ref_=adv_li_tt,1936
Jackatoon,The Mountain,United Kingdom,Rosemary Lee Booker;J. Vyne Clark;Sydney Dench,Travis Jackson,Drama,https://www.imdb.com/title/tt0158006/?ref_=adv_li_tt,1935
Jesba Films,Children of the Fog,United Kingdom,Barbara Gott;Graham Soutten;Rani Waller,Leopold Jessner;John Quin,Drama,https://www.imdb.com/title/tt0026204/?ref_=adv_li_tt,December 1935
Associated Pictures Productions,Other People's Sins,United Kingdom,Horace Hodges;Stewart Rome;Anne Grey,Sinclair Hill,Crime,https://www.imdb.com/title/tt0162511/?ref_=adv_li_tt,"February 24, 1931"
George King Productions,"Number, Please",United Kingdom,Mabel Poulton;Warwick Ward;Richard Bird,George King,Crime;Romance,https://www.imdb.com/title/tt0812354/?ref_=adv_li_tt,"June 30, 1931"
,Fun at the Movies,United Kingdom,,,,https://www.imdb.com/title/tt0049242/?ref_=adv_li_tt,1956
Warner Brothers-First National Productions,Call Me Mame,United Kingdom,Ethel Irving;John Batten;Dorothy Bartlam,John Daumery,Comedy,https://www.imdb.com/title/tt0023868/?ref_=adv_li_tt,1933
British Lion Film Corporation,Ten Minute Alibi,United Kingdom,Phillips Holmes;Aileen Marson;Theo Shall,Bernard Vorhaus,Crime;Drama,https://www.imdb.com/title/tt0128731/?ref_=adv_li_tt,"January 22, 1935"
British International Pictures (BIP),Bachelor's Baby,United Kingdom,Ann Casson;William Freshman;Henry Wenman,Harry Hughes,Comedy,https://www.imdb.com/title/tt0022650/?ref_=adv_li_tt,"August 22, 1932"
British Lion Film Corporation;Thomas Charles Arnold Productions,It's a Grand Old World,United Kingdom,Sandy Powell;Gina Malo;Cyril Ritchard,Herbert Smith,,https://www.imdb.com/title/tt0168897/?ref_=adv_li_tt,1937
British International Pictures (BIP),Song of Soho,United Kingdom,Carl Brisson;Edna Davies;Donald Calthrop,Harry Lachman,Musical,https://www.imdb.com/title/tt0021402/?ref_=adv_li_tt,"March 14, 1930"
George King Productions,Handle with Care,United Kingdom,Molly Lamont;Jack Hobbs;James Finlayson,Randall Faye,Comedy,https://www.imdb.com/title/tt0026451/?ref_=adv_li_tt,"March 26, 1935"
Delman Film Corporation,A Ray of Sunshine: An Irresponsible Medley of Song and Dance,United Kingdom,Ted Ray;Anita and Armand;Ivy Benson's All-Girl Band,Horace Shepherd,Comedy;Music,https://www.imdb.com/title/tt1910491/?ref_=adv_li_tt,1950
British International Pictures (BIP),Almost a Honeymoon,United Kingdom,Clifford Mollison;Dodo Watts;Lamont Dickson,Monty Banks,Comedy,https://www.imdb.com/title/tt0022623/?ref_=adv_li_tt,"September 19, 1930"
Reginald Fogwell Productions,Betrayal,United Kingdom,Stewart Rome;Marjorie Hume;Leslie Perrins,Reginald Fogwell,Crime;Drama,https://www.imdb.com/title/tt0164396/?ref_=adv_li_tt,"April 28, 1932"
,The Butterfly Affair,United Kingdom,Richard Bird;Nancy Burne;Diana Napier,Walter Summers,Drama,https://www.imdb.com/title/tt0310831/?ref_=adv_li_tt,1933
Carlton Films (II),An Obvious Situation,United Kingdom,Sunday Wilshin;Walter Sondes;Carl Harbord,Giuseppe Guarino,Crime;Drama;Mystery,https://www.imdb.com/title/tt0164121/?ref_=adv_li_tt,"February 24, 1931"
Cardin Film Service,BSA Gold Star,United Kingdom,Hilary Long,Hilary Long,Sport,https://www.imdb.com/title/tt18673388/?ref_=adv_li_tt,1954
Herbert Wilcox Productions;British & Dominions Film Corporation,Girls Please!,United Kingdom,Sydney Howard;Jane Baxter;Meriel Forbes,Jack Raymond,Comedy,https://www.imdb.com/title/tt0167180/?ref_=adv_li_tt,July 1934
,You Never Can Tell,United Kingdom,Bertha Belmore,Bertha Belmore,,https://www.imdb.com/title/tt0027234/?ref_=adv_li_tt,1935
H.B. Parkinson,Scrags,United Kingdom,Augusto Sandoni;Bobbie Bradshaw;Eric Hales,Challis Sanderson,Drama,https://www.imdb.com/title/tt0021343/?ref_=adv_li_tt,"March 25, 1930"
Film Producers Guild;Merton Park Studios;The Rank Organisation,The Fool and the Princess,United Kingdom,Bruce Lester;Lesley Brook;Adina Mandlová,William C. Hammond,Drama;Romance,https://www.imdb.com/title/tt0040363/?ref_=adv_li_tt,"January 3, 1949"
British Lion Film Corporation,Fine Feathers,United Kingdom,Stella Arbenina;Jack Hobbs;Renee Houston,Leslie S. Hiscott,Musical,https://www.imdb.com/title/tt0146743/?ref_=adv_li_tt,1937
Warner Brothers-First National Productions,Too Many Wives,United Kingdom,Claude Fleming;Alf Goddard;Jack Hobbs,George King,Comedy,https://www.imdb.com/title/tt0024682/?ref_=adv_li_tt,1933
Warner Brothers-First National Productions,It's in the Blood,United Kingdom,Claude Hulbert;Lesley Brook;Max Leeds,Gene Gerrard,Comedy,https://www.imdb.com/title/tt0030282/?ref_=adv_li_tt,"March 8, 1938"
Halas and Batchelor Cartoon Films,The Big Top,United Kingdom,Joy Batchelor;John Halas,Joy Batchelor;John Halas,Animation,https://www.imdb.com/title/tt0145677/?ref_=adv_li_tt,1944
,Down Melody Lane,United Kingdom,Eve Becke;Louis Bradfield;Robert Chisholm,Frank Dormand,Musical,https://www.imdb.com/title/tt2711686/?ref_=adv_li_tt,1943
British Instructional Films (BIF),The Strangler,United Kingdom,Jack Morrison;Moira Lynd;Lewis Dayton,Norman Lee,,https://www.imdb.com/title/tt0167417/?ref_=adv_li_tt,"March 18, 1932"
Warner Brothers-First National Productions,The Stolen Necklace,United Kingdom,Lester Matthews;Joan Marion;Mickey Brantford,Leslie S. Hiscott,Crime;Drama,https://www.imdb.com/title/tt0024614/?ref_=adv_li_tt,1933
,Yellow Rose,United Kingdom,,,,https://www.imdb.com/title/tt0048817/?ref_=adv_li_tt,1955
Sovereign Films (I),The Sky Raiders,United Kingdom,Nita Harvey;Ambrose Day;Ronald Braden,Fraser Foulsham,Crime;Thriller,https://www.imdb.com/title/tt0165945/?ref_=adv_li_tt,"March 15, 1938"
British Instructional Films (BIF),Josser on the River,United Kingdom,Ernie Lotinga;Molly Lamont;Charles Hickman,Norman Lee,Comedy,https://www.imdb.com/title/tt0166670/?ref_=adv_li_tt,"August 19, 1932"
